count(Paper);Country 1;Country 2;Journal;Category
2;Germany;Russia;Main Group Chemistry;Chemistry
3;Germany;Ukraine;Main Group Chemistry;Chemistry
1;Germany;United Kingdom;Main Group Chemistry;Chemistry
8;Germany;United States;Main Group Chemistry;Chemistry
1;Greece;United Kingdom;Main Group Chemistry;Chemistry
3;India;Japan;Main Group Chemistry;Chemistry
2;India;Malaysia;Main Group Chemistry;Chemistry
1;India;Tanzania;Main Group Chemistry;Chemistry
1;India;Turkey;Main Group Chemistry;Chemistry
4;India;United Kingdom;Main Group Chemistry;Chemistry
3;India;United States;Main Group Chemistry;Chemistry
2;Indonesia;Iran;Main Group Chemistry;Chemistry
3;Iran;Italy;Main Group Chemistry;Chemistry
1;Iran;Malaysia;Main Group Chemistry;Chemistry
1;Iran;Poland;Main Group Chemistry;Chemistry
3;Iran;Taiwan;Main Group Chemistry;Chemistry
1;Iran;United Kingdom;Main Group Chemistry;Chemistry
2;Iran;United States;Main Group Chemistry;Chemistry
1;Italy;Portugal;Main Group Chemistry;Chemistry
2;Italy;Saudi Arabia;Main Group Chemistry;Chemistry
10;Italy;Tunisia;Main Group Chemistry;Chemistry
2;Japan;Mexico;Main Group Chemistry;Chemistry
3;Kazakhstan;United Kingdom;Main Group Chemistry;Chemistry
6;Kazakhstan;United States;Main Group Chemistry;Chemistry
4;Libya;Saudi Arabia;Main Group Chemistry;Chemistry
9;Malaysia;Pakistan;Main Group Chemistry;Chemistry
2;Malaysia;United States;Main Group Chemistry;Chemistry
2;Mexico;Romania;Main Group Chemistry;Chemistry
23;Pakistan;Saudi Arabia;Main Group Chemistry;Chemistry
4;Pakistan;United States;Main Group Chemistry;Chemistry
1;Portugal;Saudi Arabia;Main Group Chemistry;Chemistry
9;Portugal;Tunisia;Main Group Chemistry;Chemistry
2;Romania;United States;Main Group Chemistry;Chemistry
8;Russia;United States;Main Group Chemistry;Chemistry
4;Saudi Arabia;Sudan;Main Group Chemistry;Chemistry
9;Saudi Arabia;Tunisia;Main Group Chemistry;Chemistry
5;Saudi Arabia;United States;Main Group Chemistry;Chemistry
6;Saudi Arabia;Yemen;Main Group Chemistry;Chemistry
1;Serbia;United States;Main Group Chemistry;Chemistry
2;Singapore;United States;Main Group Chemistry;Chemistry
44;United Kingdom;United States;Main Group Chemistry;Chemistry
4;Australia;Brazil;Spectroscopy;Chemistry
20;Australia;France;Spectroscopy;Chemistry
7;Australia;Germany;Spectroscopy;Chemistry
5;Australia;Switzerland;Spectroscopy;Chemistry
4;Australia;United Kingdom;Spectroscopy;Chemistry
32;Australia;United States;Spectroscopy;Chemistry
102;Austria;Germany;Spectroscopy;Chemistry
23;Austria;Turkey;Spectroscopy;Chemistry
5;Bangladesh;Pakistan;Spectroscopy;Chemistry
22;Belgium;Brazil;Spectroscopy;Chemistry
58;Belgium;France;Spectroscopy;Chemistry
18;Belgium;Italy;Spectroscopy;Chemistry
15;Belgium;Poland;Spectroscopy;Chemistry
9;Belgium;Sweden;Spectroscopy;Chemistry
18;Belgium;Switzerland;Spectroscopy;Chemistry
23;Belgium;Turkey;Spectroscopy;Chemistry
31;Belgium;Ukraine;Spectroscopy;Chemistry
24;Bolivia;Mexico;Spectroscopy;Chemistry
10;Brazil;France;Spectroscopy;Chemistry
14;Brazil;Germany;Spectroscopy;Chemistry
17;Brazil;United Kingdom;Spectroscopy;Chemistry
4;Brazil;United States;Spectroscopy;Chemistry
126;Canada;China;Spectroscopy;Chemistry
133;Canada;France;Spectroscopy;Chemistry
11;Canada;Greece;Spectroscopy;Chemistry
22;Canada;Iran;Spectroscopy;Chemistry
66;Canada;Mexico;Spectroscopy;Chemistry
18;Canada;Russia;Spectroscopy;Chemistry
17;Canada;South Africa;Spectroscopy;Chemistry
17;Canada;Spain;Spectroscopy;Chemistry
9;Canada;United Kingdom;Spectroscopy;Chemistry
4;Canada;United States;Spectroscopy;Chemistry
4;China;Denmark;Spectroscopy;Chemistry
25;China;France;Spectroscopy;Chemistry
7;China;Japan;Spectroscopy;Chemistry
4;China;Poland;Spectroscopy;Chemistry
9;China;United Kingdom;Spectroscopy;Chemistry
11;China;United States;Spectroscopy;Chemistry
12;Croatia;Italy;Spectroscopy;Chemistry
4;Croatia;Slovenia;Spectroscopy;Chemistry
40;Czechia;France;Spectroscopy;Chemistry
7;Czechia;Lithuania;Spectroscopy;Chemistry
12;Czechia;Spain;Spectroscopy;Chemistry
11;Czechia;United States;Spectroscopy;Chemistry
20;Denmark;Germany;Spectroscopy;Chemistry
4;Denmark;Iraq;Spectroscopy;Chemistry
4;Denmark;Qatar;Spectroscopy;Chemistry
11;Denmark;Sweden;Spectroscopy;Chemistry
23;Denmark;United Kingdom;Spectroscopy;Chemistry
35;Denmark;United States;Spectroscopy;Chemistry
61;Finland;France;Spectroscopy;Chemistry
8;Finland;Italy;Spectroscopy;Chemistry
8;Finland;United Kingdom;Spectroscopy;Chemistry
52;France;Germany;Spectroscopy;Chemistry
4;France;Hungary;Spectroscopy;Chemistry
43;France;Italy;Spectroscopy;Chemistry
4;France;Mexico;Spectroscopy;Chemistry
5;France;Netherlands;Spectroscopy;Chemistry
15;France;Norway;Spectroscopy;Chemistry
19;France;Portugal;Spectroscopy;Chemistry
9;France;Slovakia;Spectroscopy;Chemistry
26;France;Switzerland;Spectroscopy;Chemistry
77;France;United Kingdom;Spectroscopy;Chemistry
8;France;Vietnam;Spectroscopy;Chemistry
15;Germany;Italy;Spectroscopy;Chemistry
10;Germany;Japan;Spectroscopy;Chemistry
13;Germany;Poland;Spectroscopy;Chemistry
44;Germany;Romania;Spectroscopy;Chemistry
16;Germany;Russia;Spectroscopy;Chemistry
31;Germany;Spain;Spectroscopy;Chemistry
4;Germany;Switzerland;Spectroscopy;Chemistry
8;Germany;Thailand;Spectroscopy;Chemistry
24;Germany;United Kingdom;Spectroscopy;Chemistry
18;Germany;United States;Spectroscopy;Chemistry
22;Greece;Iran;Spectroscopy;Chemistry
11;Greece;United States;Spectroscopy;Chemistry
8;Hong Kong;Singapore;Spectroscopy;Chemistry
8;Hong Kong;United States;Spectroscopy;Chemistry
11;Hungary;Slovakia;Spectroscopy;Chemistry
10;Iceland;Italy;Spectroscopy;Chemistry
5;Iceland;Norway;Spectroscopy;Chemistry
8;India;Netherlands;Spectroscopy;Chemistry
4;India;Pakistan;Spectroscopy;Chemistry
5;India;Peru;Spectroscopy;Chemistry
14;India;Saudi Arabia;Spectroscopy;Chemistry
18;Indonesia;Malaysia;Spectroscopy;Chemistry
10;Indonesia;Saudi Arabia;Spectroscopy;Chemistry
11;Iran;United States;Spectroscopy;Chemistry
20;Ireland;United Kingdom;Spectroscopy;Chemistry
17;Ireland;United States;Spectroscopy;Chemistry
42;Italy;Netherlands;Spectroscopy;Chemistry
11;Italy;Norway;Spectroscopy;Chemistry
12;Italy;Romania;Spectroscopy;Chemistry
45;Italy;Russia;Spectroscopy;Chemistry
12;Italy;Slovenia;Spectroscopy;Chemistry
9;Italy;South Korea;Spectroscopy;Chemistry
16;Italy;Spain;Spectroscopy;Chemistry
4;Italy;Switzerland;Spectroscopy;Chemistry
49;Italy;United States;Spectroscopy;Chemistry
4;Japan;Nigeria;Spectroscopy;Chemistry
17;Japan;Poland;Spectroscopy;Chemistry
18;Japan;Taiwan;Spectroscopy;Chemistry
12;Japan;Turkey;Spectroscopy;Chemistry
20;Japan;United Kingdom;Spectroscopy;Chemistry
38;Japan;United States;Spectroscopy;Chemistry
14;Lithuania;United States;Spectroscopy;Chemistry
5;Malaysia;Portugal;Spectroscopy;Chemistry
22;Malaysia;Saudi Arabia;Spectroscopy;Chemistry
7;Netherlands;Peru;Spectroscopy;Chemistry
7;Netherlands;Poland;Spectroscopy;Chemistry
4;Netherlands;United States;Spectroscopy;Chemistry
7;Netherlands;Vietnam;Spectroscopy;Chemistry
36;Norway;United Kingdom;Spectroscopy;Chemistry
55;Pakistan;Saudi Arabia;Spectroscopy;Chemistry
11;Poland;Ukraine;Spectroscopy;Chemistry
13;Poland;United States;Spectroscopy;Chemistry
8;Portugal;Romania;Spectroscopy;Chemistry
18;Portugal;Spain;Spectroscopy;Chemistry
11;Portugal;United Kingdom;Spectroscopy;Chemistry
5;Romania;Spain;Spectroscopy;Chemistry
8;Romania;United States;Spectroscopy;Chemistry
152;Russia;United Kingdom;Spectroscopy;Chemistry
28;Russia;United States;Spectroscopy;Chemistry
10;Singapore;United States;Spectroscopy;Chemistry
4;South Africa;Spain;Spectroscopy;Chemistry
19;South Korea;United States;Spectroscopy;Chemistry
23;Spain;United States;Spectroscopy;Chemistry
10;Turkey;United Kingdom;Spectroscopy;Chemistry
44;United Kingdom;United States;Spectroscopy;Chemistry
1;Armenia;United States;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
2;Austria;Belgium;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Austria;Netherlands;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
2;Belgium;Netherlands;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Belgium;Switzerland;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Canada;Germany;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Chile;Ethiopia;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Chile;Jordan;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Chile;Switzerland;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Chile;Thailand;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Ethiopia;Jordan;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Ethiopia;Switzerland;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Ethiopia;Thailand;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Finland;Germany;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Finland;Hungary;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
4;Finland;Netherlands;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
5;Finland;Norway;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
2;Finland;Sweden;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Hungary;Sweden;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Israel;Italy;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Israel;United Kingdom;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Italy;Spain;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Italy;Switzerland;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Italy;United Kingdom;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Jordan;Switzerland;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Jordan;Thailand;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Luxembourg;Thailand;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
4;Netherlands;Norway;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Netherlands;United Kingdom;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Norway;Sweden;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Norway;Switzerland;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Poland;United Kingdom;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Spain;United Kingdom;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Switzerland;Thailand;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Switzerland;United States;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Turkey;United States;Statistical Journal of the United Nations Economic Commission for Europe;Chemistry
1;Algeria;France;AI Communications;Computer & Communication Sciences
1;Algeria;Luxembourg;AI Communications;Computer & Communication Sciences
3;Argentina;Germany;AI Communications;Computer & Communication Sciences
4;Australia;Austria;AI Communications;Computer & Communication Sciences
1;Australia;China;AI Communications;Computer & Communication Sciences
5;Australia;France;AI Communications;Computer & Communication Sciences
3;Australia;Germany;AI Communications;Computer & Communication Sciences
2;Australia;Italy;AI Communications;Computer & Communication Sciences
1;Australia;Netherlands;AI Communications;Computer & Communication Sciences
2;Australia;New Zealand;AI Communications;Computer & Communication Sciences
1;Australia;United States;AI Communications;Computer & Communication Sciences
1;Australia;Vietnam;AI Communications;Computer & Communication Sciences
1;Austria;Brazil;AI Communications;Computer & Communication Sciences
1;Austria;Czechia;AI Communications;Computer & Communication Sciences
1;Austria;France;AI Communications;Computer & Communication Sciences
2;Austria;Germany;AI Communications;Computer & Communication Sciences
3;Austria;Italy;AI Communications;Computer & Communication Sciences
1;Austria;Romania;AI Communications;Computer & Communication Sciences
2;Austria;Spain;AI Communications;Computer & Communication Sciences
2;Austria;United States;AI Communications;Computer & Communication Sciences
3;Belgium;Ecuador;AI Communications;Computer & Communication Sciences
4;Belgium;Ethiopia;AI Communications;Computer & Communication Sciences
5;Belgium;Netherlands;AI Communications;Computer & Communication Sciences
6;Belgium;Portugal;AI Communications;Computer & Communication Sciences
1;Belgium;Slovenia;AI Communications;Computer & Communication Sciences
3;Belgium;United Kingdom;AI Communications;Computer & Communication Sciences
2;Belgium;United States;AI Communications;Computer & Communication Sciences
3;Belgium;Vietnam;AI Communications;Computer & Communication Sciences
1;Brazil;France;AI Communications;Computer & Communication Sciences
3;Brazil;Germany;AI Communications;Computer & Communication Sciences
1;Brazil;Italy;AI Communications;Computer & Communication Sciences
3;Brazil;Netherlands;AI Communications;Computer & Communication Sciences
7;Brazil;Spain;AI Communications;Computer & Communication Sciences
1;Brazil;Sweden;AI Communications;Computer & Communication Sciences
8;Brazil;United Kingdom;AI Communications;Computer & Communication Sciences
1;Brazil;Venezuela;AI Communications;Computer & Communication Sciences
5;Canada;Germany;AI Communications;Computer & Communication Sciences
3;Canada;Israel;AI Communications;Computer & Communication Sciences
4;Canada;Italy;AI Communications;Computer & Communication Sciences
9;Canada;Netherlands;AI Communications;Computer & Communication Sciences
2;Canada;United Kingdom;AI Communications;Computer & Communication Sciences
9;Canada;United States;AI Communications;Computer & Communication Sciences
2;Chile;Norway;AI Communications;Computer & Communication Sciences
1;Chile;Spain;AI Communications;Computer & Communication Sciences
2;China;Germany;AI Communications;Computer & Communication Sciences
1;China;Italy;AI Communications;Computer & Communication Sciences
1;China;Netherlands;AI Communications;Computer & Communication Sciences
5;China;Singapore;AI Communications;Computer & Communication Sciences
1;China;United States;AI Communications;Computer & Communication Sciences
6;Colombia;Spain;AI Communications;Computer & Communication Sciences
3;Cyprus;Slovenia;AI Communications;Computer & Communication Sciences
1;Czechia;France;AI Communications;Computer & Communication Sciences
2;Czechia;Germany;AI Communications;Computer & Communication Sciences
3;Czechia;Slovenia;AI Communications;Computer & Communication Sciences
1;Czechia;United States;AI Communications;Computer & Communication Sciences
1;Denmark;United States;AI Communications;Computer & Communication Sciences
1;Ecuador;Ethiopia;AI Communications;Computer & Communication Sciences
2;Ecuador;Portugal;AI Communications;Computer & Communication Sciences
1;Ecuador;Vietnam;AI Communications;Computer & Communication Sciences
2;Egypt;Germany;AI Communications;Computer & Communication Sciences
2;Ethiopia;Vietnam;AI Communications;Computer & Communication Sciences
5;France;Germany;AI Communications;Computer & Communication Sciences
4;France;Iran;AI Communications;Computer & Communication Sciences
1;France;Ireland;AI Communications;Computer & Communication Sciences
5;France;Italy;AI Communications;Computer & Communication Sciences
4;France;Japan;AI Communications;Computer & Communication Sciences
1;France;Luxembourg;AI Communications;Computer & Communication Sciences
4;France;Macao;AI Communications;Computer & Communication Sciences
4;France;Macau;AI Communications;Computer & Communication Sciences
4;France;Morocco;AI Communications;Computer & Communication Sciences
1;France;Netherlands;AI Communications;Computer & Communication Sciences
3;France;New Zealand;AI Communications;Computer & Communication Sciences
1;France;Slovenia;AI Communications;Computer & Communication Sciences
7;France;Spain;AI Communications;Computer & Communication Sciences
1;France;Sweden;AI Communications;Computer & Communication Sciences
6;France;United Kingdom;AI Communications;Computer & Communication Sciences
4;France;United States;AI Communications;Computer & Communication Sciences
2;Germany;Iran;AI Communications;Computer & Communication Sciences
1;Germany;Israel;AI Communications;Computer & Communication Sciences
9;Germany;Italy;AI Communications;Computer & Communication Sciences
1;Germany;Luxembourg;AI Communications;Computer & Communication Sciences
2;Germany;Netherlands;AI Communications;Computer & Communication Sciences
1;Germany;Norway;AI Communications;Computer & Communication Sciences
2;Germany;Slovenia;AI Communications;Computer & Communication Sciences
3;Germany;Spain;AI Communications;Computer & Communication Sciences
1;Germany;Sweden;AI Communications;Computer & Communication Sciences
1;Germany;Switzerland;AI Communications;Computer & Communication Sciences
2;Germany;United Kingdom;AI Communications;Computer & Communication Sciences
17;Germany;United States;AI Communications;Computer & Communication Sciences
2;Germany;Vietnam;AI Communications;Computer & Communication Sciences
5;Hong Kong;Italy;AI Communications;Computer & Communication Sciences
2;Hong Kong;Switzerland;AI Communications;Computer & Communication Sciences
2;India;Norway;AI Communications;Computer & Communication Sciences
1;India;Switzerland;AI Communications;Computer & Communication Sciences
2;India;United States;AI Communications;Computer & Communication Sciences
4;Ireland;Italy;AI Communications;Computer & Communication Sciences
11;Ireland;Portugal;AI Communications;Computer & Communication Sciences
3;Ireland;Spain;AI Communications;Computer & Communication Sciences
1;Ireland;Sweden;AI Communications;Computer & Communication Sciences
1;Ireland;United Kingdom;AI Communications;Computer & Communication Sciences
1;Israel;Italy;AI Communications;Computer & Communication Sciences
2;Israel;Spain;AI Communications;Computer & Communication Sciences
7;Israel;United States;AI Communications;Computer & Communication Sciences
3;Italy;Japan;AI Communications;Computer & Communication Sciences
11;Italy;Spain;AI Communications;Computer & Communication Sciences
1;Italy;Sweden;AI Communications;Computer & Communication Sciences
3;Italy;Switzerland;AI Communications;Computer & Communication Sciences
8;Italy;United Kingdom;AI Communications;Computer & Communication Sciences
6;Italy;United States;AI Communications;Computer & Communication Sciences
3;Japan;United Kingdom;AI Communications;Computer & Communication Sciences
12;Japan;United States;AI Communications;Computer & Communication Sciences
1;Lebanon;Netherlands;AI Communications;Computer & Communication Sciences
1;Lebanon;Spain;AI Communications;Computer & Communication Sciences
3;Lebanon;United States;AI Communications;Computer & Communication Sciences
4;Macao;Macau;AI Communications;Computer & Communication Sciences
3;Mexico;Spain;AI Communications;Computer & Communication Sciences
1;Mexico;United States;AI Communications;Computer & Communication Sciences
1;Netherlands;Romania;AI Communications;Computer & Communication Sciences
1;Netherlands;Spain;AI Communications;Computer & Communication Sciences
1;Netherlands;Switzerland;AI Communications;Computer & Communication Sciences
25;Netherlands;United States;AI Communications;Computer & Communication Sciences
2;Norway;Spain;AI Communications;Computer & Communication Sciences
1;Norway;Sweden;AI Communications;Computer & Communication Sciences
3;Pakistan;United Kingdom;AI Communications;Computer & Communication Sciences
1;Poland;Sweden;AI Communications;Computer & Communication Sciences
4;Poland;United Kingdom;AI Communications;Computer & Communication Sciences
6;Portugal;Spain;AI Communications;Computer & Communication Sciences
6;Portugal;United Kingdom;AI Communications;Computer & Communication Sciences
14;Portugal;United States;AI Communications;Computer & Communication Sciences
1;Romania;Serbia;AI Communications;Computer & Communication Sciences
1;Romania;Spain;AI Communications;Computer & Communication Sciences
1;Slovenia;Spain;AI Communications;Computer & Communication Sciences
4;Slovenia;United Kingdom;AI Communications;Computer & Communication Sciences
1;Slovenia;United States;AI Communications;Computer & Communication Sciences
1;Spain;Sweden;AI Communications;Computer & Communication Sciences
1;Spain;Switzerland;AI Communications;Computer & Communication Sciences
17;Spain;United Kingdom;AI Communications;Computer & Communication Sciences
17;Spain;United States;AI Communications;Computer & Communication Sciences
1;Spain;Venezuela;AI Communications;Computer & Communication Sciences
1;Sweden;United Kingdom;AI Communications;Computer & Communication Sciences
2;Switzerland;United States;AI Communications;Computer & Communication Sciences
3;United Kingdom;United States;AI Communications;Computer & Communication Sciences
1;Algeria;Italy;Applied Ontology;Computer & Communication Sciences
1;Argentina;Canada;Applied Ontology;Computer & Communication Sciences
2;Argentina;Germany;Applied Ontology;Computer & Communication Sciences
1;Argentina;Hong Kong;Applied Ontology;Computer & Communication Sciences
1;Argentina;Russia;Applied Ontology;Computer & Communication Sciences
4;Argentina;United Kingdom;Applied Ontology;Computer & Communication Sciences
11;Argentina;United States;Applied Ontology;Computer & Communication Sciences
2;Australia;France;Applied Ontology;Computer & Communication Sciences
1;Australia;Germany;Applied Ontology;Computer & Communication Sciences
5;Australia;Japan;Applied Ontology;Computer & Communication Sciences
1;Australia;United States;Applied Ontology;Computer & Communication Sciences
1;Austria;Canada;Applied Ontology;Computer & Communication Sciences
1;Austria;Denmark;Applied Ontology;Computer & Communication Sciences
3;Austria;Germany;Applied Ontology;Computer & Communication Sciences
20;Austria;Ireland;Applied Ontology;Computer & Communication Sciences
1;Austria;Netherlands;Applied Ontology;Computer & Communication Sciences
1;Austria;United States;Applied Ontology;Computer & Communication Sciences
4;Belgium;Canada;Applied Ontology;Computer & Communication Sciences
1;Belgium;Luxembourg;Applied Ontology;Computer & Communication Sciences
2;Belgium;Netherlands;Applied Ontology;Computer & Communication Sciences
4;Belgium;Norway;Applied Ontology;Computer & Communication Sciences
9;Belgium;United Kingdom;Applied Ontology;Computer & Communication Sciences
6;Belgium;United States;Applied Ontology;Computer & Communication Sciences
1;Brazil;Germany;Applied Ontology;Computer & Communication Sciences
13;Brazil;Italy;Applied Ontology;Computer & Communication Sciences
2;Brazil;Netherlands;Applied Ontology;Computer & Communication Sciences
1;Brazil;United States;Applied Ontology;Computer & Communication Sciences
1;Cameroon;France;Applied Ontology;Computer & Communication Sciences
4;Canada;France;Applied Ontology;Computer & Communication Sciences
4;Canada;Germany;Applied Ontology;Computer & Communication Sciences
1;Canada;Hong Kong;Applied Ontology;Computer & Communication Sciences
5;Canada;Italy;Applied Ontology;Computer & Communication Sciences
3;Canada;Russia;Applied Ontology;Computer & Communication Sciences
15;Canada;United Kingdom;Applied Ontology;Computer & Communication Sciences
33;Canada;United States;Applied Ontology;Computer & Communication Sciences
1;Czechia;France;Applied Ontology;Computer & Communication Sciences
1;Czechia;Japan;Applied Ontology;Computer & Communication Sciences
1;Denmark;Germany;Applied Ontology;Computer & Communication Sciences
1;Denmark;Netherlands;Applied Ontology;Computer & Communication Sciences
2;Estonia;France;Applied Ontology;Computer & Communication Sciences
1;Estonia;Norway;Applied Ontology;Computer & Communication Sciences
1;France;Germany;Applied Ontology;Computer & Communication Sciences
1;France;Ireland;Applied Ontology;Computer & Communication Sciences
4;France;Italy;Applied Ontology;Computer & Communication Sciences
1;France;Japan;Applied Ontology;Computer & Communication Sciences
4;France;Netherlands;Applied Ontology;Computer & Communication Sciences
2;France;Norway;Applied Ontology;Computer & Communication Sciences
7;France;United Kingdom;Applied Ontology;Computer & Communication Sciences
19;France;United States;Applied Ontology;Computer & Communication Sciences
3;Germany;Hong Kong;Applied Ontology;Computer & Communication Sciences
1;Germany;Ireland;Applied Ontology;Computer & Communication Sciences
15;Germany;Italy;Applied Ontology;Computer & Communication Sciences
1;Germany;Netherlands;Applied Ontology;Computer & Communication Sciences
2;Germany;Russia;Applied Ontology;Computer & Communication Sciences
1;Germany;Senegal;Applied Ontology;Computer & Communication Sciences
3;Germany;Spain;Applied Ontology;Computer & Communication Sciences
11;Germany;United Kingdom;Applied Ontology;Computer & Communication Sciences
21;Germany;United States;Applied Ontology;Computer & Communication Sciences
3;Hong Kong;Italy;Applied Ontology;Computer & Communication Sciences
1;Hong Kong;Russia;Applied Ontology;Computer & Communication Sciences
1;Hong Kong;Senegal;Applied Ontology;Computer & Communication Sciences
4;Hong Kong;United Kingdom;Applied Ontology;Computer & Communication Sciences
10;Hong Kong;United States;Applied Ontology;Computer & Communication Sciences
2;Ireland;Mexico;Applied Ontology;Computer & Communication Sciences
1;Ireland;Netherlands;Applied Ontology;Computer & Communication Sciences
3;Ireland;Spain;Applied Ontology;Computer & Communication Sciences
1;Ireland;United Kingdom;Applied Ontology;Computer & Communication Sciences
5;Italy;Japan;Applied Ontology;Computer & Communication Sciences
7;Italy;Luxembourg;Applied Ontology;Computer & Communication Sciences
8;Italy;Netherlands;Applied Ontology;Computer & Communication Sciences
2;Italy;Poland;Applied Ontology;Computer & Communication Sciences
1;Italy;Russia;Applied Ontology;Computer & Communication Sciences
3;Italy;Senegal;Applied Ontology;Computer & Communication Sciences
1;Italy;Sweden;Applied Ontology;Computer & Communication Sciences
1;Italy;United Kingdom;Applied Ontology;Computer & Communication Sciences
17;Italy;United States;Applied Ontology;Computer & Communication Sciences
2;Japan;Netherlands;Applied Ontology;Computer & Communication Sciences
1;Japan;Poland;Applied Ontology;Computer & Communication Sciences
3;Japan;United Kingdom;Applied Ontology;Computer & Communication Sciences
1;Japan;United States;Applied Ontology;Computer & Communication Sciences
12;Luxembourg;Netherlands;Applied Ontology;Computer & Communication Sciences
1;Luxembourg;Sweden;Applied Ontology;Computer & Communication Sciences
1;Mauritius;Tunisia;Applied Ontology;Computer & Communication Sciences
2;Mexico;United Kingdom;Applied Ontology;Computer & Communication Sciences
